repo_name,stars,forks,issues,pull_requests,contributors,language,engagement_score,pr_to_issue_ratio,popularity_tier,contributor_category,is_popular,lang_C,lang_C++,lang_CSS,lang_Dart,lang_Go,lang_HTML,lang_Java,lang_JavaScript,lang_Jupyter Notebook,lang_Other,lang_PHP,lang_Python,lang_Ruby,lang_Shell,lang_TypeScript,lang_Unknown
octocat/Hello-World,0,0,612,316,2,Unknown,0.4,0.516,obscure,small_team,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EddieHubCommunity/support,271,150,536,6,71,Unknown,194.7,0.011,moderate,large_team,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ethereum/aleth,0,0,313,27,154,C++,30.8,0.086,obscure,open_source,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
localstack/localstack,0,0,290,30,434,Python,86.8,0.103,obscure,open_source,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
education/classroom,0,589,202,22,67,Ruby,190.1,0.109,obscure,large_team,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
shobhit97/open-gpstracker,0,0,172,0,3,Java,0.6,0.0,obscure,small_team,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
donnemartin/system-design-primer,0,0,164,164,115,Python,23.0,1.0,obscure,open_source,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
jgthms/bulma,0,0,151,159,380,CSS,76.0,1.053,obscure,open_source,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
sukritishah15/DS-Algo-Point,956,289,142,16,186,Java,601.9,0.113,moderate,open_source,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
taniarascia/comments,4,0,117,0,0,Unknown,2.0,0.0,obscure,solo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
trailofbits/algo,0,0,115,10,163,Jinja,32.6,0.087,obscure,open_source,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
octocat/octocat.github.io,233,198,106,18,0,CSS,175.9,0.17,moderate,solo,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
felangel/bloc,0,0,85,6,169,Dart,33.8,0.071,obscure,open_source,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
iamrajiv/new-keptn-docs-engine,0,1,81,3,0,JavaScript,0.3,0.037,obscure,solo,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SauravMukherjee44/Aec-Library-Website,5,2,81,29,184,HTML,39.9,0.358,obscure,open_source,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
